Model,Product ID,Price (INR),MRP (INR),Motor,Battery,Range (Throttle),Range (PAS),Top Speed,Weight,Wheel Size,Brakes,Gears,Frame Material,Charging Time,Category,Key Features
Dope,emotorad-001,19999,29999,250W Hub Motor,36V 5.2Ah Li-ion,20 km,22 km,17 km/h,15 kg,24",Disc (Auto Cut-off),Single Speed,High Tensile Steel,2-3 hrs,Kids E-Cycle,"India's first 24T kids e-cycle, 3 PAS levels, safe speed limit, 80mm suspension fork"
X1,emotorad-002,24999,39999,250W BLDC Rear Hub Motor,36V 10.2Ah Li-ion,30 km,45 km,25 km/h,20 kg,27.5",Disc (Auto Cut-off),Single Speed,High Tensile Steel,4-5 hrs,Mountain E-Cycle,"Upgraded 10.2Ah battery, 100mm front suspension, removable battery, 6 colour options"
X2,emotorad-003,28499,44999,250W BLDC Rear Hub Motor,36V 7.65Ah Li-ion,30 km,35 km,25 km/h,20 kg,27.5",Mechanical Disc (Auto Cut-off),Single Speed,High Tensile Steel (Step-Through),4-5 hrs,Mountain E-Cycle,"Unisex step-through frame, splashproof P9 LCD display, 5 PAS levels, removable battery"
X3,emotorad-004,32999,49999,250W BLDC Hub Motor,36V 7.65Ah Li-ion,35 km,40 km,25 km/h,19 kg,700C,Disc (Auto Cut-off),Single Speed,High Tensile Steel,3-4 hrs,Hybrid E-Cycle,"Colour display, front suspension, lightweight hybrid design"
Legend O7,emotorad-005,29999,44999,250W BLDC Hub Motor,36V 7.65Ah Li-ion (0.28 kWh),30 km,35 km,25 km/h,20 kg,27.5",Disc (Auto Cut-off),Single Speed,High Tensile Steel,3-4 hrs,City E-Cycle,"City commuter, removable battery, 5 PAS levels, 120 kg load capacity, ergonomic design"
ST-X,emotorad-006,29999,44999,250W Rear Hub Motor,36V 7.65Ah Li-ion,30 km,35 km,25 km/h,20 kg,28",Disc (Auto Cut-off),Single Speed,High Tensile Steel (Step-Through),3-4 hrs,City E-Cycle,"Step-through unisex frame, Cluster C2 display, 5 PAS levels, removable battery"
T-Rex Air,emotorad-007,34999,54999,250W BLDC Hub Motor,36V 10.2Ah Li-ion (0.37 kWh),40 km,50 km,25 km/h,22.38 kg,27.5"/29",Mechanical Disc (Auto Cut-off),7-Speed Shimano Tourney,Aluminium Alloy 6061,4-5 hrs,Mountain E-Cycle,"Available in 27.5 and 29 variants, removable battery, front suspension, adventure ready"
Neo,emotorad-008,25999,39999,250W BLDC Hub Motor,36V 7.65Ah Li-ion,25 km,35 km,25 km/h,20 kg,27.5",Dual Disc (Auto Cut-off),Single Speed,High Tensile Steel,3-4 hrs,City E-Cycle,"Best e-cycle under 26K, removable battery, dual disc brakes, 5 PAS levels"
T-Rex+ V3,emotorad-009,42999,69999,250W BLDC Hub Motor,36V 12.75Ah Li-ion (0.47 kWh),30 km,35 km,25 km/h,20 kg,26"/27.5"/29",Disc (Auto Cut-off),7-Speed,Aluminium Alloy 6061,5-7 hrs,Mountain E-Cycle,"3 wheel size options, large 12.75Ah battery, front suspension, tubeless tyres"
Doodle V3,emotorad-010,52999,79999,250W BLDC Hub Motor,36V 12.75Ah Li-ion,45 km,60 km,25 km/h,22 kg,20" x 4.0" Fat,Dual Disc (Auto Cut-off),7-Speed Shimano,Aluminium Alloy 6061 Foldable,4-5 hrs,Folding E-Cycle,"Foldable frame, fat tyres, waterproof LCD with USB, 12.75Ah battery, compact storage"
T-Rex Pro,emotorad-011,48499,79999,250W BLDC Hub Motor,36V 13Ah Li-ion (0.47 kWh),30 km,35 km,25 km/h,20 kg,27.5"/29",Disc (Auto Cut-off),7-Speed Shimano Altus,Aluminium Alloy 6061,5-7 hrs,Mountain E-Cycle,"India's first e-cycle with integrated indicators and headlights, colour LCD display, 7 Shimano Altus gears"
Ranger,emotorad-012,56999,89999,250W BLDC Hub Motor,48V 12.75Ah Li-ion,60 km,75 km,25 km/h,35 kg,20" x 4.0" Fat,Disc (Auto Cut-off),7-Speed Shimano,High Tensile Steel,5-7 hrs,Fat Tyre E-Cycle,"Moto-style design, double crown suspension 120mm, fat tyres, Cluster C6+ display, front & rear indicators"
EMX,emotorad-013,54999,79999,250W BLDC Motor,36V 13Ah Li-ion (0.47 kWh),40 km,80 km,25 km/h,21 kg,27.5",160mm Disc with Ceramic Pads,21-Speed Shimano Tourney,Aluminium Alloy 6061,5-7 hrs,MTB Dual Suspension,"India's first dual suspension e-cycle, ceramic disc brakes, LED console, 80 km range"
